name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions,description,plans,total_rented_area
Атака,Россия,Одежда,Средний,2002.0,,6,Москва,"В 2002 году, в Москве на ул. Люблинская был открыт первый магазин ""Атака"", который специализируется на продаже одежды и снаряжения для сотрудников силовых структур, туристов, охотников и рыбаков. Многое изменилось с тех пор, и сегодня «Атака» - сеть магазинов, получившая широкую известность и продолжающая свое активное развитие. В наших магазинах вы всегда найдете широкий ассортимент униформы, обуви и снаряжения для сотрудников МВД, ФСБ, МЧС, Министерства обороны, ЧОП, и других силовых и охранных структур. Также у нас вы найдете большой выбор товаров для любителей туризма и отдыха на природе. К военным праздникам мы рады предложить эксклюзивные подарочные наборы и оригинальные сувениры. Десятки тысяч довольных покупателей - вот результат нашей многолетней работы, и это не просто слова: индивидуальный подход к каждому покупателю - один из наших главных приоритетов. Мы всегда рады проконсультировать вас по любому интересующему вам вопросу, дать рекомендации, основанные на нашем опыте, и подобрать товар, подходящий под конкретные нужды. На сегодняшний день у нас 6 магазинов в Москве, в которых вас встретят внимательные и квалифицированные консультанты, каждый магазин предлагает богатый ассортимент - тысячи наименований товаров. Основными направлениями работы магазинов «Атака» являются: - розничные продажи в сети магазинов ""Атака"" - работа с юридическими лицами и оптовая торговля - интернет-магазин ""Атака""",,
Атлантика,Россия,Спорт,Средний,2007.0,,6,Санкт-Петербург,"Компания ""Бассейны"" была основана в 2007 году добрыми целеустремленными людьми для осуществления проекта строительства доступных плавательных бассейнов в Санкт-Петербурге. Мы благодарим наших руководителей за возможность созидания и участия в столь актуальном для простых горожан проекте. Мы благодарим наших посетителей за поддержку и любовь. Наша миссия: Создание и эксплуатация производственной базы, необходимой для занятий плаванием – здоровой деятельностью, продлевающей жизнь человека. Создание условий для привлечения широких слоев населения к здоровому образу жизни через популяризацию плавания, в том числе создание доступной среды для инвалидов. Прямое участие компании в оздоровлении нации и улучшении качества жизни россиян. Современные технологии Мы создали для вас производственную базу с учетом требований технических стандартов и ожиданий потребителей услуг плавательных бассейнов и фитнес-центров. Мы изучили и применили опыт лучших производителей оборудования для плавательных бассейнов, что в итоге позволило предложить вам: 1. Отличное качество воды в наших бассейнах – обеспечивается командой профессионалов с помощью современной системы водоподготовки и очистки чаш бассейнов 2. Более 800 кв. метров зеркала воды в каждом спортивно-оздоровительном комплексе – плавание в более свободных условиях 3. Комфортное пребывание – в новых зданиях продуманы просторные, теплые и хорошо освещенные помещения, оборудованные всем необходимым, а также для вашего удобства: медицинский кабинет, детская комната, центр красоты и здоровья, кафе, магазин товаров для плавания, семейный клуб и фитнес-центр 4. Лучшее спортивное оборудование и инвентарь из представленных на мировом рынке – помогают вам получить спортивный и оздоровительный эффект от проводимых тренировок 5. Превыше всего – обеспечение безопасности посетителей, с технической точки зрения: нескользящее покрытие полов, безопасные ступеньки и разделители дорожек, полностью автоматическая система дозирования реагентов для водоподготовки, нетоксичная система пожаротушения Bonpet, способная эффективно ликвидировать любое возгорание на ранней стадии, система контроля доступа, с точки зрения организации персональной безопасности: на бортике бассейна всегда дежурит команда профессиональных спасателей, в здании ведется видеонаблюдение Новый формат услуг Три чаши бассейнов в каждом спортивно-оздоровительном комплексе позволяют организовать в одном месте разнообразные услуги для различных групп населения. Раздельная специализация чаш бассейнов позволяет обеспечить для каждой группы посетителей необходимые условия по глубине чаши, температуре воды и воздуха. Занятия на воде дополняются программами фитнес-центра и водными процедурами центра красоты и здоровья. Высокие потребительские свойства услуг Мы поставили себе задачу существенно поднять планку качества на рынке услуг плавательных бассейнов Санкт-Петербурга, постарались придать нашим сервисным продуктам такие потребительские свойства, которые учли бы потребности и возможности различных слоев населения: Плавательные бассейны – наш основной сервисный продукт Мы являемся технологическими лидерами в своей отрасли Мы знаем, как сделать ваше пребывание в наших бассейнах максимально комфортным, приносящим удовольствие и положительный оздоровительный эффект Дети и люди старшего возраста – наши особенные посетители, для которых разработаны специальные программы, и представлена соответствующая инфраструктура Приходя к нам снова и снова, вы гарантировано наслаждаетесь чистой голубой и теплой водой ""Атлантики"" В наших спортивных бассейнах – 12 дорожек по 25 метров – плавайте свободно! Тренажеры лучших мировых производителей В своих фитнес-центрах мы предлагаем вам воспользоваться тренажерами фирм Precor и Foremann, являющихся одними из лучших производителей тренажеров в мире. В чаше оздоровительного бассейна на занятиях аквафитнесом используются инновационные беговые дорожки и сайклы Hydrorider. Признание качества В 2014 году ""Бассейны ""Атлантика"" стали лауреатами конкурсов ""Сделано в Санкт-Петербурге"" и ""100 лучших товаров России""!",,
Атлас-Люкс,Россия,Мебель,Средний,,,71,Москва; Санкт-Петербург; Альметьевск; Белгород; Благовещенск; Владивосток; Вологда; Воронеж; Грозный; Екатеринбург; Иркутск; Калуга; Кемерово; Краснодар; Красноярск; Курск; Липецк; Махачкала; Нижневартовск; Нижний Новгород; Обнинск; Одинцово; Омск; Орел; Оренбург; Пенза; Петропавловск-Камчатский; Пятигорск; Рязань; Сочи; Ставрополь; Сургут; Тверь; Тула; Тюмень; Улан-Удэ; Ульяновск; Хабаровск; Челябинск; Южно-Сахалинск; Ярославль,"Компания «Атлас-Люкс», эксперт в области производства кухонной мебели, благодаря более чем 20-летнему опыту работы на рынке мебели, знает, как пробудить в душе любого дома – кухне – чувство истинного удовольствия, соединяя высочайшие эстетические нормы и особые требования. Бренд «Атлас-Люкс» широко известен не только в Москве, но и по всей России. Наши кухни это европейское качество и большой выбор дизайнерских решений, которые позволят сделать вашу кухню под ваш интерьер. На данный момент более чем в 70 салонах мебели вы можете заказать кухни «Атлас-Люкс» — кухни отменного европейского качества по стоимости дешевле итальянских аналогов, благодаря расположению фабрики в Москве, отлаженному процессу поставок комплектующих и большим объемам производства. В любом из наших салонов для покупателей представлен широкий спектр услуг: составление дизайн-проекта, замер помещения, доставка и установка бытовой техники и т.д.",,
Атмосфера,Россия,Развлечения,Средний,,,3,Москва,"Спортивно-развлекательный центр-indoor-парк «Атмосфера» - это комплекс площадок спортивно-развлекательной тематики( огромная батутная арена, веревочный город, скалодром, стеновые детские панели Fanwalls, детский лабиринт, комнаты для проведения детских праздников и корпоративные мероприятия) Посетители - люди всех возрастов в любой спортивной форме. Парк позволяет испытать сильные эмоции,рисковать и раскрывать физические возможности в контролируемой безопасной обстановке Indoor-парки в мире: Более 500 парков в Америке, более 300 парков в Европе, более 100 парков в Азии и Австралии. Парки набирают популярность по всему миру. Постоянно совершенствуются технологии, разрабатываются новые виды аттракционов",,30000
АТХ,Россия,Бытовая техника,Средний,2008.0,,7,Нижний Тагил,"Сеть магазинов ""АТХ"" предлагает лучшие условия покупки и хранения под залог бытовой техники, компьютеров, ноутбуков, средств связи, автомобилей или недвижимости. -Покупка бытовой техники, сотовых, планшетов, авто и прочего по высоким ценам. -Прием техники, авто, прочего на хранение, низкий процент. -Покупка неисправной техники (любой), возможен выезд автомобиля с грузчиками. -Ремонт техники с гарантией, бесплатная диагностика. -Продажа всех видов бытовой техники, средств связи, интерактивного ТВ, авто/мото техники и комплектующих к ним (резина, магнитолы, регистраторы, навигаторы и т.д.) Наша цель - оказывать услуги качественно, быстро и честно!",,
Афоня,Россия,Все для дома,Средний,1996.0,,12,Санкт-Петербург,"Компания Афоня начала свою деятельность в 1996 году с монтажа сантехнических инженерных систем и оборудования. В 1999 году принято решение открыть направление розничной торговли инженерной сантехникой. Открыта первая торговая точка на рынке «Варшавский». 2000-2001 г. Открытие первого магазина по адресу Санкт-Петербург, Звёздная ул., 5 корп.1 (магазин до сих пор существует) 2004 г. Открыт магазин Санкт-Петербург, Ивановская ул., 17 2005 г. Открыт магазин Санкт-Петербург, Искровский пр., 29 2006 г. Открыт магазин Санкт-Петербург, Моховая ул., 42 2008 г. Открыт магазин на пр. Просвещения, 54 2008 г. Принято решение открыть свой собственный интернет-магазин по продаже сантехники онлайн афоня.рф 2010 г. Открыт магазин на Ленинский пр., 114 Открыт Центральный склад площадью 800 м2. 2011 г. Открыт магазин Гаккелевская ул., 33 корп.1 2012 г. Открыт магазин на Якорная ул., д.2 2013 г. Открыт магазин на пр. Науки, 15 корп.1 2014 г. Переезд Центрального склада в большее здание с площадью 1300 м2. 2015 г. Открыт магазин пр. Косыгина, 27 корп.1 2016 г. Открыт магазин Железноводская ул., 3 (ТК «Василеостровский») 2016 г. Переезд магазина пр. Просвещения, 54 в больший магазин пр. Просвещения, 46. 2016 г. Площадь Центрального склада увеличена до 1600 м2 2016 г. Запущена еженедельная доставка онлайн заказов сантехники в Великий Новгород. 2016 г. Запущена еженедельная доставка онлайн заказов сантехники в Псков. 2017 г. Возобновлена деятельность по монтажу инженерных систем и оборудования. Появилось подразделение «Монтажная служба Афоня». 2017 г. Открыт магазин Народная ул., 21 Группа Компаний «Афоня» сегодня это: 12 розничных магазинов Более 200 сотрудников Центральный склад площадью 1600 м2 работает круглосуточно, обрабатывает онлайн заказы сантехники. Офис, в котором работают дизайнеры, программисты, маркетологи, операторы базы данных, бухгалтеры, редакторы сайта, отдел кадров и др. специалисты Учебный класс для подготовки и переподготовки продавцов Логистическая служба с 12 транспортными единицами Интернет магазин (сall–центр по обслуживанию звонков и заказов через сайт) «Монтажная служба Афоня» с отдельным call-центром, а также сантехники, сварщики, плиточники, и другие специалисты. Ассортмент товара: более 100 тыс. наименований более 300 брендов Сантехника, керамическая плитка, инженерная сантехника Компания Афоня получила награду «Лидер отрасли 2016» за весомый вклад в развитие российской экономики, добросовестную уплату налогов, достижение высоких экономических показателей.",10.0,
Ашан,Франция,Продукты питания,Средний,1961.0,1406,301,Москва; Санкт-Петербург; Волгоград; Воронеж; Екатеринбург; Казань; Калуга; Кострома; Краснодар; Майкоп; Нижний Новгород; Новосибирск; Омск; Орехово-Зуево; Пенза; Подольск; Ростов-на-Дону; Рязань; Самара; Тюмень; Ульяновск; Уфа; Челябинск,"Auchan Holding — французская корпорация, представленная во многих странах мира. Один из крупнейших в мире операторов розничных сетей (в том числе сети продуктовых гипермаркетов Auchan). Номинально Ашан является главным структурным подразделением семейной корпорации «Ассоциация семьи Мюлье». Компания основана в 1961 году в Рубе (город близ Лилля). Основатель и нынешний председатель совета директоров — Жерар Мюлье. Название «Auchan» — сознательно неточная орфографическая запись слов фр. Hauts champs — «Верхние поля» (название квартала Рубе, где был создан первый магазин). Изображенная на эмблеме птица также отсылает к птичьей «трели», что по-французски: au chant. 16 ноября 2015 года структура Группы Ашан была трансформирована в Holding Auchan, который включает в себя три крупных автономных организации: Auchan Retail (розничная торговля), Immochan (торговая недвижимость) и Oney Banque Accord (банковские услуги). Основными направлениями деятельности корпорации являются: Розничная торговля: Сеть гипер- и супермаркетов. Торговля осуществляется под марками Auchan и Alcampo (гипермаркеты), Auchan City, Atac, Elea и Simply Market (супермаркеты). Электронная торговля. Группе принадлежат интернет-магазины Auchandirect, работающий во Франции и Польше, Auchan.fr, Grossbill, оба работающие только во Франции, и Auchandrive.lu в Люксембурге. В России работает проект E-Commerce. Управление недвижимостью. Подразделение Immochan специализируется на управлении торговыми центрами. На 31 июля 2011 открыто 312 торговых центров под управлением Immochan, включая 32 в России. Банковские услуги. Banque Accord был основан во Франции в 1983 году, и на август 2011 года его подразделения работают в 10 странах, включая Россию, где, однако, пока не получил лицензию на ведение банковской деятельности. Иное: Управление сетью мебельных магазинов Alinéa во Франции. Сеть была основана в 1989 году и с тех пор во Франции было открыто 22 магазина. Интернет-магазин Chronodrive во Франции. Chronodrive является интернет-магазином с обязательным самовывозом товаров с 33 складов, расположенных на территории Франции. Благодаря отсутствию расходов на доставку и невысокой стоимости обслуживания склада относительно торгового зала, Chronodrive имеет более низкие цены относительно традиционных супермаркетов. Сеть хозяйственных магазинов Little Extra во Франции. Сеть была открыта в 2007 году в формате дискаунтера, на август 2011 года открыто уже 10 магазинов во Франции. Показатели деятельности Распределение доходов от деятельности Auchan Groupe Совокупная численность персонала сети на 2010 год составляла 262 тыс. человек. Выручка сети в 2010 году составила €42,492 млрд (в 2009 году — €39,671 млрд), чистая прибыль — €742 млн (€696 млн). В 2016 году выручка составила €52,82 млрд, что на 1,8% меньше показателя 2015 года, чистая прибыль увеличилась на 11,8% по сравнению с предыдущим годом до €803 млн. В России развитием и деятельностью сети занимается «АШАН Ритейл Россия». Президент компании с 2014 года — Жан-Пьер Жермен. Первый гипермаркет «АШАН» в России был открыт 28 августа 2002 года в городе Мытищи Московской области. По состоянию на декабрь 2016 года в стране действует 301 магазин: 102 гипермаркета, 187 супермаркетов и 12 магазинов формата «у дома», а также интернет-магазин Auchan.ru[16]. В декабре 2007 года «АШАН» заключил договор с турецкой компанией Enka о передаче гипермаркетов сети «Рамстор». Согласно достигнутому соглашению, «АШАН» приобрёл в собственность 1 гипермаркет, а на 13 магазинов получил долгосрочные права аренды. После сделки был проведён ребрендинг, в результате которого магазины из «Рамстор» были переименованы в «АШАН Сити». Ещё одним, сравнительно новым, направлением являются супер- и гипермаркеты «АШАН Сад», специализирующиеся на товарах для сада, декорирования и на товарах для животных. На данный момент в этом формате работают магазины в Москве, Волгограде, Самаре и Воронеже. В конце 2009 года «АШАН» реализовал в России новый проект «Наша радуга», т. н. «супермаркет XXI века». Это новая концепция, ориентирующаяся на технологичность и экономию людских и энергетических ресурсов. Покупателям помогают сканировать товары и самостоятельно оплачивать их через особые платёжные терминалы. «АШАН» планирует развёртывать такие магазины в городах с населением 100—700 тыс. человек. Первый «тестовый» магазин открыт в Пензе; второй — в Калуге. В апреле 2013 года «АШАН» выкупил у «Metro Group» часть сети розничной торговли «Real,-». В сделку вошли магазины следующих стран: Россия, Украина, Польша и Румыния. В России в сделку вошли 13 из 14 магазинов, по которым в течение 2013 года был проведен ребрендинг. В конце 2015 года российские сети «АШАН» и «АТАК» слились в единую новую структуру «АШАН Ритейл Россия». После чего было объявлено о ребрендинге магазинов «АТАК» в «АШАН Супермаркет», при этом в магазинах сменится ассортимент, с упором на овощи, фрукты и свежую выпечку. Кроме того, четыре московских магазина формата «у дома» «В шаге от вас» будут переименованы в «Мой АШАН». В августе 2016 года «АШАН Ритейл Россия» открыл первый в России магазин косметики Lillapois. Основа успешного развития Увеличивать покупательскую способность все большего количества клиентов, предлагая широкий ассортимент качественных товаров по ценам на 10 – 20% ниже, чем у конкурентов – залог успеха проекта АШАН в России. Глобальная задача Обучать и развивать навыки и компетенции российских специалистов компании для предоставления им максимальной ответственности и автономности вплоть до возможности стать акционерами АШАН. Предоставляемые возможности Открытие торговых центров в городах России обеспечивает приток дополнительных денежных средств в виде налоговых поступлений в бюджет регионов, позволяет создавать рабочие места, развивает сети местных производителей и поставщиков товаров. До 80% продаваемых в АШАН товаров производится в России. Кадровая политика АШАН в России дает возможность сотрудникам компании приобрести уникальный опыт работы по европейским стандартам организации розничной торговли и открывает широкую перспективу для карьерного роста.   Народная марка В общенациональном голосовании «Народная марка» АШАН признан победителем в категории «Сеть гипермаркетов».",10.0,
Аэлита,Россия,Парфюмерия и Косметика,Средний,1991.0,,17,Новосибирск; Омск,"Косметический Центр «Аэлита» сотрудничает только с проверенными временем поставщиками продукции и оборудования, надежно зарекомендовавшими себя на мировом рынке. В сети магазинов представлены ведущие бренды косметологии, парфюмерии и медицины, с многолетней историей и новейшими научными технологиями и разработками. В составе представленной у нас продукции - максимально натуральные качественные компоненты. Удобное расположение торговых точек по городу делает процесс покупки простым и доступным. Продавцы-консультанты наших магазинов регулярно проходят обучение для того, чтобы оказать Вам помощь при выборе, дать профессиональную консультацию по применению продукта и сделать процесс покупки комфортным и легким. Мы знаем рецепт качественного сервиса: сертифицированные специалисты широкий ассортимент продукции высокое качество компонентов и материалов удобное расположение торговых точек  Косметический Центр ""Аэлита"" представляет товары для: салонов красоты парикмахерских студий косметических кабинетов маникюрных и педикюрных кабинетов кабинетов медицинского пирсинга студий загара массажных кабинетов SPA-центров домашнего использования",,
Аюрведа Фреш,Индия,"Здоровье, лечение, профилактика",Средний,,,1,Москва,"Аюрведа – уникальное древнеиндийское учение о сохранении физического и душевного здоровья человека. Сегодня эта система стала одной из самых популярных во всем мире благодаря своей эффективности и безопасности. В магазинах ""АюрФреш"" мы собрали самые лучшие аюрведические товары от проверенных индийских производителей, которые помогут вам справиться с болезнями, продлить молодость и сохранить красоту. Если Вы производите продукцию для красоты и здоровья высокого качества, соответствующую тематике, готовы к долгосрочному и взаимовыгодному сотрудничеству - мы готовы рассмотреть Ваши предложения. Будьте готовы предоставить образцы, т.к мы продаём только то, что используем сами. И только то, что готовы рекомендовать от себя и своего имени. Внимание! Предложения без цен и фото не рассматриваются. Пожалуйста, свяжитесь с нами для обсуждения вариантов сотрудничества по электронной почте отдела закупок. Рассмотрим предложения по аренде площадей для наших магазинов в г. Москве и области. Направьте своё предложение с фото и ценами по адресу электронной почты отдела развития.",5.0,
Бабай Клаб ,Россия,"Кафе, ресторан",Средний,,,4,Москва,"Мир узбекской кухни — яркий и неповторимый. Повара сети ресторанов «Бабай Клаб» не используют новых и остромодных рецептов, зато вы сможете попробовать вкус настоящего мяса, рассыпчатого плова, сдобренного щедрой щепоткой зиры, барбариса и других ташкентских приправ, вспомнить цвет алых помидоров, яркой моркови, изумрудной кинзы. И чай здесь не в пакетиках, наспех кинутых в чашку с кипятком, а настоящий — ароматный и заваренный по всем правилам узбекского чаепития.  Атмосфера в наших ресторанах соответствует названию. Вас окружат цвета терракоты и лазури, вы окунетесь в мягкий шелк диванов, золотые узоры на подушках порадуют глаз, а приятная музыка ублажит ваш слух. Здесь все создано для того, чтобы вы смогли отвлечься от суеты и полностью расслабиться.",,
Бабушка приехала,Россия,"Кафе, ресторан",Средний,2020.0,3,3,Санкт-Петербург,"Что такое детское кафе «Бабушка приехала»? Наша команда старалась, чтобы создать для Вас кафе нового поколения! Дети играют с няней, мамы пьют кофе двумя руками. Приятная атмосфера Каждый гость для нас очень важен! Мы хотим, чтобы наше кафе «Бабушка приехала» стало для Вас любимым местом с множеством радостных воспоминаний. Так же, наши сотрудники надеются, что посещение кафе станет для Вас приятной семейной традицией. Вкусная кухня Семейное кафе «Бабушка приехала» гордится высоким качеством кухни. В меню Вы найдете фирменные блюда, приготовленные из свежайших продуктов с любовью. Детская комната Детская комната оборудована всем необходимым, чтобы подарить Вашим детям много удовольствия и счастья, а Вам время для спокойного отдыха, потому что за малышами присмотрит опытная няня.",,
Бабушкины Пироги,Россия,Продукты питания,Средний,2005.0,,55,Санкт-Петербург; Гатчина; Колпино,"Бренд «Бабушкины Пироги» был образован в 2005 году. Идея создания - возрождение традиций домашней выпечки. Ассортимент выпеченных изделий насчитывает более 50 наименований и постоянно обновляется. Вся продукция компании изготовлена вручную по старинным рецептам. Залогом качества нашей выпечки выступают профессионализм наших пекарей, самые современные технологии и оборудование ведущих производителей. За время существования компания «Бабушкины Пироги» развилась в популярную у горожан розничную сеть и насчитывает более пятидесяти торговых точек.",10.0,
Багет ,Россия,Услуги населению,Средний,1992.0,14,14,Москва,"Московская сеть багетных мастерских ""Художественно-производственная фирма ""Багет"" Торговая сеть ""Багет"" предлагает к продаже в Москве багет больше двадцати лет. За это время торговая сеть разрослась и приобрела бесценный опыт в сфере оформительских услуг, неизменно повышая уровень сервиса. Приемные пункты по оформлению размещаются во всех районах Москвы, чтобы любой желающий мог без труда воспользоваться услугами торговой сети. (Алтуфьево, Пражская, Кузнецкий мост, Академика Янгеля, Щукинская, Варшавская, Сокольники, Теплый стан, Новые Черемушки, Бабушкинская, ВДНХ, Профсоюзная, Семеновская) постоянно открываются новые салоны в стремлении сделать искусство доступным каждому! В магазинах торговой сети можно приобрести товар как в розницу так и оптом, опытные менеджеры помогут найти наиболее взаимовыгодные варианты сотрудничества.",2.0,
Багира,Россия,Зоотовары и услуги,Средний,2003.0,,16,Евпатория; Севастополь; Симферополь ,"Магазины сети Багира работают в Симферополе уже более 15 лет. За это время мы добились признания и доверия среди наших клиентов. В магазинах представлен широкий ассортимент товаров для животных. Наша компания является официальным дилером представленных на полках торговых марок. Это означает, что вся продукция действительно фирменная, никакого «серого импорта», на все товары распространяется гарантия производителя, цены в наших магазинах соответствуют рекомендованным производителем.",,
Байрам,Россия,Продукты питания,Дисконт,2009.0,,120,Благовещенск; Уфа,"О Группе Компаний ""БАТЫР"": Группа компаний «БАТЫР» была основана в Республике Башкортостан в 2009 году как бренд, который объединил в себе оптовое и розничное направления торговли, а также производство и фасовки продуктов питания. Тем самым компания создает продовольственную безопасность на региональном потребительском рынке стабильным наличием социально-значимых товаров по доступным ценам. Миссия и ценности компании: Название бренда «БАТЫР» говорит само за себя.  Это не просто энергичный молодой всадник «БАТЫР» в традиционном богатырском наряде, изображенный на эмблеме Компании.  «БАТЫР» в переводе означает «Защитник».  «Что же он защищает?» – спросите Вы.  Мы все любим Родину, свои корни, свою историю.  Вот и наш «БАТЫР» оберегает традиции, служит народу, обеспечивает здоровым питанием жителей нашего региона.  «БАТЫР» уверенно мчится на своём коне с заботой и любовью к людям, стремится к новым целям.  ЗАБОТА О ЛЮДЯХ, является высокой ценностью Группы компаний «БАТЫР»! 3 Супермаркета ""Сабантуй""; 103 магазина у дома ""Байрам""; 18 детских магазинов ""Ёжик""; Пищевой комбинат Буляк; Логистический центр класса А. Цели компании:  К 2018 году стать одним из ведущих работодателей по признанию общества:  лучшая бизнес-школа и наставники, эффективные бизнес-технологии, реализация возможностей карьерного роста, сплоченная команда единомышленников и высокий уровень кадрового резерва. К 2020 году закрепиться в тройке лидеров  по товарообороту и доходности на продуктовом рынке, выдержать конкуренцию и укрепить лояльность населения и партнеров. Компания «Батыр» является стабильной опорой республиканских производителей, создает все условия для продвижения товаров высокого качества по доступным ценам! В рамках собственных технологий и новых совместных маркетинговых проектов, таких как «Выбирай свое – покупай родное!», «Продукт Башкортостана» расширяет сотрудничество с предприятиями сельского хозяйства и перерабатывающей промышленности. Мы приглашаем вас к сотрудничеству, мы всегда открыты для совместных проектов! Компания «БАТЫР» дорожит своей безупречной деловой репутацией надежного партнера среди представителей деловых кругов: инвесторов, поставщиков товаров, партнеров по оказанию дополнительных услуг, сотрудников компании, а главное – доверием и лояльностью населения на родном потребительском рынке.",30.0,
